PRIDE	RAW file	RAW file version	Creation date	Operator	Number of instruments	Description	Instrument model	Instrument name	Serial number	Software version	major	minor	Firmware version	Units	Mass resolution	Number of scans	Number of ms2 scans	Scan range	Time range	Mass range	Scan filter (first scan)	Scan filter (last scan)	Total number of filters	Sample name	Sample id	Sample type	Sample comment	Sample vial	Sample volume	Sample injection volume	Sample row number	Sample dilution factor	Sample barcode	Title	Repos	Species	Instrument	Publication	LabHead	Announce.Date	year	month	day	Keywords
PXD001279	.temp.raw	66	02/11/2013 18:55:27	Thermo	1		Orbitrap Fusion	Orbitrap Fusion	MP1	1.0.13	1	0		None	0.500	49967	22897	1-49967	0-119.99	100-2000	FTMS + p NSI Full ms [300.00-1600.00]	FTMS + p NSI Full ms [300.00-1600.00]	27112		1	Unknown		D8	0	1	10	1		The subcellular proteome of mouse pluripotent embryonic stem cells	PRIDE	Mus musculus 	Orbitrap Fusion	Christoforou et al. (2016)	Kathryn S. Lilley	2016-01-14	2016	01	14	PRIME-XS Project, Biological, E14TG2a, mouse, pluripotent, embryonic stem cells, TMT, SPS-MS3, organelle proteomics, spatial proteomics, Orbitrap Fusion, 
PXD001301	.temp.raw	66	22/05/2014 05:14:30	Schmitt-Ulms Lab	1		Orbitrap Fusion	Orbitrap Fusion	ORBITRAP FUSION	1.0.727.28	1	0		None	0.500	71783	32509	1-71783	0-219.99	100-2000	FTMS + p NSI Full ms [400.00-2000.00]	FTMS + p NSI Full ms [400.00-2000.00]	27619		14_OF_NMuMG_Prnp_kd_wt_global_6_7_8_9_0_1_C18_1	QC		1-V3	0	-1	0	1		CRISPR-Cas9-based knockout of the prion protein and its effect on the proteome	PRIDE	Mus musculus 	Orbitrap Fusion	Mehrabian et al. (2014)	Gerold Schmitt-Ulms	2014-11-19	2014	11	19	Biological, prion, CRISPR-Cas9, knockout, kockdown, 
PXD001334	.temp.raw	66	05/10/2013 23:58:24	F01SW1	1		Orbitrap Fusion	Orbitrap Fusion	MP20	1.0.725	1	0		None	0.500	59918	26557	1-59918	0-179.99	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI Full ms [400.00-1400.00]	28685	pm_diauxic_3	A1	Unknown		C3	0	4	3	1		Comprehensive temporal protein dynamics during the diauxic shift in Saccharomyces cerevisiae, part 1	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Murphy et al. (2015)	Steve Gygi	2015-06-19	2015	06	19	Biological, Yeast, Diauxic Shift, Temporal, 
PXD001626	.temp.raw	66	08/08/2014 18:03:26	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10213	1.1.921.22	1	1		None	0.500	22852	6812	1-22852	0-130	100-2000	FTMS + p NSI Full ms [300.0000-1800.0000]	FTMS + p NSI Full ms [300.0000-1800.0000]	5980		6	Unknown		A6	0	8	2	1		Widespread somatic L1 retrotransposition occurs early during gastrointestinal cancer evolution	PRIDE	Homo sapiens 	Orbitrap Fusion	Espejo, L�pez & Arias (1981)	Haig H. Kazazian, Jr.	2015-08-11	2015	08	11	Biomedical, Retrotransposon, L1, adenoma, carcinoma, colorectal cancer, 
PXD001884	.temp.raw	66	26/11/2014 18:18:49	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.1.982	1	1		None	0.500	33707	26297	1-33707	0-119.99	120-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	ITMS + c NSI r d Full ms2 1132.0905@hcd35.00 [120.0000-2000.0000]	6491		MS13-224 DT m-CHERRY-2 25 cm 20 µL 120 min	Unknown		BB4	0	20	4	1		Arabidopsis endomembrane enrichments: Affinity enrichment of mCherry bait	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion	Heard et al. (2015)	Alexandra M. E. Jones	2015-04-22	2015	04	22	Biological, Arabidopsis, affnity purification, clathin, small GTPases,, 
PXD001885	.temp.raw	66	27/11/2014 01:02:27	Orbitrap Fusion	3		Orbitrap Fusion	Orbitrap Fusion	FSN10194	1.1.982	1	1		None	0.500	33481	25914	1-33481	0-120	120-2000	FTMS + p NSI Full ms [350.0000-1500.0000]	FTMS + p NSI Full ms [350.0000-1500.0000]	6407		MS13-224 DT YFP-2 25 cm 20 µL 120 min	Unknown		BB7	0	20	8	1		Arabidopsis endomembrane enrichments: Affinity enrichment of GFP bait	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion	Heard et al. (2015)	Alexandra M. E. Jones	2015-04-22	2015	04	22	Biological, Arabidopsis, affnity purification, clathin, small GTPases,, 
PXD001907	.temp.raw	66	09/10/2014 12:55:21	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10120	1.1.980	1	1		None	0.500	157010	142155	1-157010	0-287	105-2000	FTMS + p NSI Full ms [400.0000-1200.0000]	FTMS + c NSI d Full ms2 710.1011@cid35.00 [190.0000-2000.0000]	9323		HeLa 10:4:1 (1Da) Rep02	Unknown		GG5	0	5	8	1		SuperQuant: a Data Processing Approach to Increase Quantitative Proteome Coverage	PRIDE	Homo sapiens 	Orbitrap Fusion	Gorshkov, Verano-Braga & Kjeldsen (2015)	Frank Kjeldsen	2015-05-26	2015	05	26	Technical, LC-MSMS, HeLa, complementary ions, data processing, post-aquisition, 
PXD002092	.temp.raw	66	06/03/2015 04:02:22	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	64349	28742	1-64349	0-180	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI Full ms [400.00-1400.00]	31068	pm_rep2_12	  	Unknown		C4	0	1.5	10	1		Comprehensive temporal protein dynamics during the diauxic shift in Saccharomyces cerevisiae, part 2	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Murphy et al. (2015)	Steve Gygi	2015-06-19	2015	06	19	Biological, TMT, Yeast, Temporal Regulation, 
PXD002093	.temp.raw	66	17/03/2015 10:36:57	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	64369	28817	1-64369	0-180	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI Full ms [400.00-1400.00]	31212	pm_rep3_10	  	Unknown		D6	0	1.5	6	1		Comprehensive temporal protein dynamics during the diauxic shift in Saccharomyces cerevisiae, part 3	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Murphy et al. (2015)	Steve Gygi	2015-06-19	2015	06	19	Biological, Yeast, TMT, Temporal Regulation, 
PXD002097	.temp.raw	66	07/08/2014 01:12:31	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	41496	35604	1-41496	0.01-159.99	120-2000	FTMS + p NSI Full ms [350.0000-1700.0000]	FTMS + c NSI d Full ms2 464.8067@hcd30.00 [120.0000-1405.0000]	8251		1	Unknown		G10	0	9	0	1		Phosphotyrosine profiling of curcumin-induced signaling	PRIDE	Homo sapiens 	Orbitrap Fusion	Sathe et al. (2016)	Akhilesh Pandey	2018-10-24	2018	10	24	Biomedical, Head and neck squamous cell carcinoma, Immunoaffinity purification, Curcumin, 
PXD002573	.temp.raw	66	01/05/2015 17:56:06	orbitrap	3		Orbitrap Fusion	Orbitrap Fusion	FSN10214	1.1.980	1	1		None	0.500	90518	86201	1-90518	10.01-112.02	77-2000.0001	FTMS + p NSI Full ms [300.0000-1900.0000]	ITMS + c NSI r d Full ms2 1383.2991@hcd30.00 [120.0000-2000.0000]	17776		jic002088lg_2	Unknown	15/100 ul	GH6	0	15	1	0		Translational regulation via ribosome modification	PRIDE	Pseudomonas fluorescens (strain SBW25)	Orbitrap Fusion	Little et al. (2016)	Dr Jacob George Malone	2016-02-17	2016	02	17	Biological, Ribosomal modification, translational control, Pseudomonas, LC-MS/MS, 
PXD002692	.temp.raw	66	01/10/2014 05:10:13	ORBITRAP FUSION	1		Orbitrap Fusion	Orbitrap Fusion	MP13	1.1.921.22	1	1		None	0.500	21820	16889	1-21820	0-100	115-2000	FTMS + p NSI Full ms [350.0000-1400.0000]	FTMS + p NSI Full ms [350.0000-1400.0000]	4045		1	Unknown		1	0	10	5	1		LC-MS/MS analysis of Medicago truncatula and Sinorhizobium meliloti	PRIDE	Sinorhizobium meliloti (strain BL225C), Medicago truncatula (Barrel medic) (Medicago tribuloides)	Orbitrap Fusion	Marx et al. (2016)	Joshua J. Coon	2016-10-10	2016	10	10	Biological, Medicago, Rhizobia, Symbiosis, PTM, 
PXD002760	.temp.raw	66	31/12/2014 23:32:59	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10227	1.1.980	1	1		None	0.500	29337	22927	1-29337	0-119.99	100-2000	FTMS + p NSI Full ms [350.0000-1550.0000]	FTMS + p NSI Full ms [350.0000-1550.0000]	4791		1	Unknown		D12	0	10	0	1		Muscle biopsies from human neuromuscular diseases with dystrophic, inflammatory and myopathic pathology reveal common alterations in mitochondrial function	PRIDE	Homo sapiens 	Orbitrap Fusion	Sunitha et al. (2016)	M. M. Srinivas Bharath	2016-04-04	2016	04	04	Biomedical, dystrophy, proteomics, Orbitrap, 
PXD002801	.temp.raw	66	02/07/2014 09:51:04	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10201	1.1.947	1	1		None	0.500	66638	31029	1-66638	0-190	100-2000.0001	FTMS + c NSI Full ms [400.0000-1400.0000]	FTMS + c NSI sps d Full ms3 1043.9900@cid35.00 533.4820@hcd55.00 [100.0000-1000.0000]	33207		jc_MDP_set18_F05	Unknown		C5	0	3	3	1		Defining the effects of genetic variation on a proteome-wide scale	PRIDE	Mus musculus 	Orbitrap Fusion	Chick et al. (2016)	Steven Gygi	2016-06-15	2016	06	15	Biological, Proteomics, quantitative trait loci, TMT, Quantitative, 
PXD002875	.temp.raw	66	23/09/2014 01:01:38	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	67194	30237	1-67194	0-180	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI Full ms [400.00-1400.00]	30656	jp1887	  	Unknown		b4	0	4	3	1		Proteome-wide quantitative multiplexed profiling of protein expression: Carbon source dependency in S. cerevisiae	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Paulo et al. (2015)	Joao A. Paulo	2016-04-20	2016	04	20	Biological, : yeast, glucose, galactose, raffinose, TMT, Fusion, 
PXD003033	.temp.raw	66	09/03/2014 15:49:35	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	41398	18496	1-41398	0-120.01	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI sps d Full ms3 679.72@cid35.00 490.45@hcd55.00 [100.00-1000.00]	21499		mic_set2_ko_b9	Unknown		c1	0	2	8	1		Multiplexed, Proteome-wide Protein Expression Profiling: Yeast Deubiquitylating Enzyme Knockout Strains	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion	Isasa et al. (2015)	Steven P. Gygi	2016-12-08	2016	12	08	Biological, High throughput proteomics, quantitative proteomics, isobaric labeling, TMT, Orbitrap Fusion, deubiquitinases,UBP3, ubiquitin, COX complex, inorganic phosphate pathway., 
PXD003096	.temp.raw	66	16/09/2014 19:01:26	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10203	1.2.1039	1	2		None	0.500	131528	115334	1-131528	0-185	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	8964		1:A,1	Unknown	psyllid las2, lowest to highest m/z	1:C,5	0	3	34	1		Asian citrus psyllid proteome: whole insect samples, with or without Candidatus Liberibacter asiaticus	PRIDE	Diaphorina citri (Asian citrus psyllid)	Orbitrap Fusion	Ramsey et al. (2015)	Michelle Cilia	2018-10-25	2018	10	25	Biological, Asian citrus psyllid, Diaphorina citri, citrus greening, huanglongbing, insect vector, endosymbiont, 
PXD003097	.temp.raw	66	07/05/2015 20:44:57	Orbitrap Fusion	2		Orbitrap Fusion	Orbitrap Fusion	FSN10203	1.2.1149	1	2		None	0.500	90590	71030	1-90590	0.01-184.99	100-2000	FTMS + p NSI Full ms [400.0000-1600.0000]	FTMS + p NSI Full ms [400.0000-1600.0000]	8084		1:A,1	Unknown	Ramsey 12	1:B,6	0	3	31	1		Asian citrus psyllid Percoll gradient fraction proteome analysis Cilia lab	PRIDE	Diaphorina citri (Asian citrus psyllid)	Orbitrap Fusion	Ramsey et al. (2015)	Michelle Cilia	2018-10-25	2018	10	25	Asian citrus psyllid, Diaphorina citri, Candidatus Liberibacter asiaticus, citrus greening, insect vector, endosymbiont, 
PXD003577	.temp.raw	66	06/03/2015 23:55:11	Orbitrap Fusion	1		Orbitrap Fusion	Orbitrap Fusion	FSN10152	1.0.727.28	1	0		None	0.500	44841	20435	1-44841	0-110	100-2000	FTMS + c NSI Full ms [400.00-1400.00]	FTMS + c NSI sps d Full ms3 671.17@cid35.00 429.25@hcd55.00 [100.00-1000.00]	24473	sdp_293_B4	  	Unknown		D4	0	2	3	1		Open-Gate Mutants of the Mammalian Proteasome Show Enhanced Ubiquitin-Conjugate Degradation	PRIDE	Homo sapiens 	Orbitrap Fusion	Choi et al. (2016)	Min Jae Lee	2016-03-01	2016	03	01	Biomedical, Biological, proteasome, gate, tau, aggregation, oxidative stress, proteomics, 
