Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD024597	Deng_Zhan brain global- and phospho-proteome	iProX	Rattus norvegicus	Orbitrap Fusion ETD	Dataset with its publication pending	Jinlan Zhang	2021-03-09	Deng_Zhan brain global- and phospho-proteome, 
PXD024596	Dengzhan shengmai brian mitochondrial proteome	iProX	Rattus norvegicus	Orbitrap Fusion Lumos; TripleTOF 5600	Dataset with its publication pending	Jinlan Zhang	2021-03-09	Dengzhan shengmai brian mitochondrial proteome, 
PXD021708	In vitro crosslinking of PAX8 and PRDM3	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; ultrafleXtreme	Dataset with its publication pending	Hans Voshol	2021-03-08	Crosslinking-MS, PAX8, PRDM3, Xlinkx, 
PXD021709	BioID of PAX8 in human ovarian cancer cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Hans Voshol	2021-03-08	BioID, PAX8, PRDM3, ovarian cancer, 
PXD024438	Switch in Cytochrome C Oxidase Composition Provides Host Protection during Acute Infection	PRIDE	Mus musculus 	Orbitrap Eclipse	Dataset with its publication pending	David Stroud	2021-03-08	Mouse, Mitochondria, TMT, LC-MS/MS, 
PXD024069	Bacillus thuringiensis NEB17 salt stress LC-MS/MS	MassIVE	Bacillus thuringiensis	LTQ Orbitrap Velos	no publication	Donald Smith	2021-03-08	Bacillus thuringiensis NEB17, Salt stress, Thuricin17, LC-MS/MS, 
PXD024531	Alternative polyadenylation quantitative trait loci contributing to complex trait and disease heritability	MassIVE	Homo sapiens	Orbitrap Fusion ETD	no publication	William Russell	2021-03-08	Poly(A), APMS, LCMS, 
PXD023639	The tumor suppressor kinase DAPK3 drives tumor-intrinsic immunity through the STING-IFNb pathway Proteome	MassIVE	Homo sapiens	Orbitrap Fusion	no publication	David Gonzalez	2021-03-08	Tandem Mass Tag, Proteome, Tumor Immunity, DAPK3, Kinas, 
PXD018744	Multilayered proteomics uncovers Notch/PKC targeting to overcome resistance to Notch inhibition in acute lymphoblastic leukemia	PRIDE	Homo sapiens 	Q Exactive HF; Orbitrap Exploris 480	Dataset with its publication pending	Jesper Velgaard Olsen	2021-03-08	Notch signaling, PKCδ, proteomics, drug resistance, T-ALL, 
PXD022193	Analysis of the neuro-proteome associated with cell therapy in a mouse model of Parkinson's disease	PRIDE	Mus musculus 	LTQ Orbitrap Velos	Dataset with its publication pending	Kazem Zibara	2021-03-08	parkinaon, proteomics, 
PXD023278	Targeted Quantification of the Lysosomal Proteome in Complex Samples	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Mosen et al. (2021); 10.3390/PROTEOMES9010004	Dominic Winter	2021-03-08	targeted proteomics, lysosomes, parallel reaction monitoring, data-independent acquisition, label-free quantification, 
PXD023516	XIST CHIRP-MS in GM12878 and K562 cell line	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Howard Y. Chang	2021-03-07	ChIrP-MS, 
PXD023751	Covalent histone modification by an electrophilic derivative of the anti-HIV drug nevirapine	PRIDE	Homo sapiens 	LTQ Orbitrap	Dataset with its publication pending	Eduard Sabid�	2021-03-07	PRIME-XS Project, covalent histone modification, mass spectrometry, drug-induced adverse reactions, covalent protein adducts, nevirapine, 
PXD022265	Plasma proteomics to discover diagnostic biomarker for Alzheimer's disease	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Khan et al. (2021); 10.3233/JAD-201318	Rena AS Robinson	2021-03-07	Plasma, Alzheimer's disease, TMT, Proteomics, Biomarker, 
PXD006143	Amblyomma sculptum sialotranscriptome and proteome	PRIDE	Amblyomma sculptum	LTQ Orbitrap Velos	Esteves et al. (2017)	Andrea C. Foga�a	2021-03-07	Biological, Amblyomma, tick, salivary glands, blood feeding, spotted fever, RNA-seq, transcriptome, proteome, 
PXD024560	Discovery of a cooperative mode of inhibiting RIPK1 kinase	iProX	Homo sapiens	Q Exactive; LTQ Orbitrap Elite	Dataset with its publication pending	Ying Li	2021-03-07	RIPK1 inhibitor, 
PXD014908	SILAC of HepG2 or HepAD38 cell lines with HBV	PRIDE	Homo sapiens 	LTQ Orbitrap Velos	Yuan et al. (2021)	Ronggui Hu	2021-03-05	Liver (B/D-HPP), Biology/Disease-Driven Human Proteome Project (B/D-HPP), Human Proteome Project, human cell,HBV,SILAC, 
PXD023485	Host proteins interacting with T. gondii Mitochondrial Association Factor 1	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Jon Boyle	2021-03-05	Toxoplasma gondii, mitochondria, 
PXD015189	Peak identification and quantification by proteomic mass spectrogram decomposition	jPOST	Homo sapiens , Saccharomyces cerevisiae (Baker's yeast)	Q Exactive; LTQ Orbitrap	Taechawattananant, Yoshii & Ishihama (2021)	Yasushi Ishihama	2021-03-05	bioinformatics, machine learning, mass spectrogram, match-between-runs, matrix decomposition, protein identification and quantification, shotgun proteomics, 
PXD018074	One-dimensional capillary liquid chromatographic separation coupled with tandem mass spectrometry unveils the Escherichia coli proteome on a microarray scale.	jPOST	Escherichia coli	LTQ Orbitrap	Taechawattananant, Yoshii & Ishihama (2021)	Yasushi Ishihama	2021-03-05	E. coli, 
PXD024530	Site-specific glycosylation analysis of the ChAdOx1 nCoV-19 derived Spike protein	MassIVE	Homo sapiens	Orbitrap Fusion	no publication	Max Crispin	2021-03-05	Glycosylation, SARS-CoV-2, ChAdOx1 nCoV-19, Spike protein, 
