Dataset Identifier	Title	Repos	Species	Instrument	Publication	LabHead	Announce Date	Keywords
PXD018912	Growth Phase-Specific Variations of the Proteome and Acetylome of the Organohalide-Respiring Dehalococcoides mccartyi Strain CBDB1	PRIDE	Dehalococcoides mccartyi CBDB1	Orbitrap Fusion; Q Exactive	Dataset with its publication pending	Nico Jehmlich	2021-02-15	Dehalococcoides mccartyi, growth phase, chlorobenzene, proteome, acetylome, transcription analysis, Nε-lysine acetylation, organohalide respiration, reductive dehalogenation, dehalogenase, Tat transport, anaerobic respiration, low biom
PXD023016	Proteomic Investigation Reveals Dominant Alterations of Neutrophil Degranulation and mRNA Translation Pathways in COVID-19 Patients	PRIDE	Homo sapiens 	Orbitrap Fusion	Bankar et al. (2021)	Sanjeeva Srivastava	2021-02-14	Covid-19, COVID-19, Human, Nasopharyngeal swab, SARS-CoV-2, Mass spectrometry, Proteomics, 
PXD017961	Endophyte-specific protection of Lolium perenne L. during rising CO2 conditions	PRIDE	Epichloe festucae E2368, Lolium perenne subsp. perenne	Orbitrap Fusion Lumos	Dataset with its publication pending	Jennifer Geddes-McAlister	2021-02-12	Fungal endophytes, Lolium perenne L., carbon dioxide, metabolomics, quantitative proteomics, plant defense response, 
PXD016042	Zinc limitation in Klebsiella pnuemoniae	PRIDE	Klebsiella pneumoniae	Orbitrap Fusion Lumos	10.1186/S12866-021-02091-8	Jennifer Geddes-McAlister	2021-02-12	zinc, Klebsiella, quantiative proteomics, secretome, proteome, virulence, transport, 
PXD022260	Circadian Profiling of the Bone Marrow Derived Macrophage Proteome	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Collins et al. (2021)	Jennifer Hurley	2021-02-11	Macrophage, Circadian, Tandem Mass Tag, 
PXD021077	A proteomics-based assessment of inflammation signatures in endotoxemia	PRIDE	Mus musculus , Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive HF	10.1074/MCP.RA120.002305; Burnap et al. (2020)	Manuel Mayr	2021-02-11	Human, Mouse, DIA, Endotoxemia, LPS, TMT, Plasma, Aorta, 
PXD020401	TPL-2 kinase induces phagosome acidification to promote macrophage killing of Staphylococcus aureus	PRIDE	Mus musculus 	Orbitrap Fusion Lumos	Dataset with its publication pending	Matthias Trost	2021-02-11	Macrophage, phagosome, Staphylococcus aureus, TPL-2, V-ATPase, 
PXD019819	Identification of spliced peptides in pancreatic islets uncovers errors leading to false assignments	PRIDE	Mus musculus , Homo sapiens 	Q Exactive HF; Orbitrap Fusion Lumos; TripleTOF 5600	Lichti (2021)	Cheryl Lichti	2021-02-11	MHC-I peptidome, crinosomes, 
PXD019438	TET2 is a component of the ER complex and controls 5mC to 5hmC conversion at ER cis-regulatory regions	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; LTQ Orbitrap Velos	Dataset with its publication pending	Jason Carroll	2021-02-10	TET2, qPLEX-RIME, Estrogen receptor alpha, breast cancer, 
PXD022667	Genoppi: an open-source software for robust and standardized integration of proteomic and genetic data	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Kasper Lage	2021-02-10	endogenous IP-MS, label-free quantification, neuron and cancer cells, protein-protein interactions, BCL2, TDP-43, MDM2, PTEN, 
PXD020052	Comprehensive analysis of transcripts and proteins relative abundance during Plasmodium falciparum blood stages	PRIDE	Plasmodium falciparum	Orbitrap Fusion	Kamaliddin et al. (2021)	Gwladys Bertin	2021-02-10	Plasmodium falciparum, RNA-seq, FPKM, LC-MS/MS, Label free quantification, Transcriptomes, Proteomes, Transcripts and proteins expression correlation, 
PXD020447	Plasmodium PKG interacts with ICM1, a multi-pass membrane protein, in both asexual and sexual stages	PRIDE	Plasmodium falciparum 3D7	Orbitrap Fusion Lumos	Dataset with its publication pending	Bram Snijders	2021-02-10	calcium homeostasis, cell signalling, Protein kinase G, Plasmodium falciparum, malaria, LC-MSMS, Orbitrap, 
PXD016196	Purified Smc5/6 complex exhibits DNA substrate recognition and compaction	PRIDE	Saccharomyces cerevisiae (Baker's yeast)	Orbitrap Fusion Lumos	10.1016/J.MOLCEL.2020.11.012; Gutierrez-Escribano et al. (2020)	Juri Rappsilber	2021-02-10	Biological, Crosslinking BS3 SMC5/6 complex, 
PXD022851	Extracellular vesicles derived from adult and fetal bone marrow mesenchymal stromal cells differentially promote expansion of hematopoietic stem and progenitor cells	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Carlijn Voermans, PhD	2021-02-10	Extracellular vesicles, BMSCs, HSPC, 
PXD020580	Proteomic Investigation Reveals Dominant Alterations of Neutrophil Degranulation and mRNA Translation Pathways in COVID-19 Patients	PRIDE	Homo sapiens 	Orbitrap Fusion	10.1016/J.ISCI.2021.102135	Dr. Sanjeeva Srivastava	2021-02-09	Sars-cov-2, COVID-19, Human, Nasopharyngeal swab, SARS-CoV-2, Mass spectrometry, Proteomics, LC-MS/MS, 
PXD023005	Metabolic control of inflammation by selenium	PRIDE	Mus musculus 	Orbitrap Fusion	Dataset with its publication pending	K. Sandeep Prabhu	2021-02-09	Selenium, macrophages, proteomics, succinate dehydrogenase, 
PXD014917	Personalized Human Milk Profiling	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion; Q Exactive	Dataset with its publication pending	Albert J.R. Heck	2021-02-08	Endogenous Peptides, Human Milk, Immunity, Personalized Nutrition, Proteins, 
PXD022834	Comparative cell surface proteomic analysis of the primary human T cell and monocyte responses to type I interferon	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Orbitrap Fusion	Dataset with its publication pending	Michael Weekes	2021-02-08	Interferon type I (IFN), leukocytes, quantitative proteomics, cell surface, antiviral restriction, monocyte, T cell, plasma membrane, 
PXD023358	Comprehensive Analysis of Tryptic Peptides Arising from Disulfide Linkages in NISTmAb	PRIDE	Homo sapiens 	Orbitrap Fusion Lumos; Q Exactive	Dataset with its publication pending	Stephen E. Stein	2021-02-08	cysteine, disulfide, disulfide bond, disulfide-linked peptides, NISTmAb, mass spectral library, 
PXD022959	HTPS screen of coagulation proteases at 20C with NaCl, ChCl, LiCl	PRIDE	Homo sapiens 	Orbitrap Fusion	Dataset with its publication pending	Ruedi Aebersold	2021-02-04	Protease investigation, 
PXD022891	Automated 16plex plasma proteomics with real-time search and ion mobility mass spectrometry enables large scale profiling in naked mole-rats and mice.	PRIDE	Mus musculus , Heterocephalus glaber	Orbitrap Fusion Lumos	Gaun et al. (2021)	Fiona E. McAllister	2021-02-04	Mouse and Naked-Mole Rat Plasma, 
PXD021922	BoxCarmax: a novel high-selectivity data-independent acquisition mass spectrometry method for the analysis of protein turnover and complex samples	PRIDE	Rattus norvegicus , Homo sapiens 	Orbitrap Fusion Lumos	Dataset with its publication pending	Yansheng Liu	2021-02-02	PC12 cells, HeLa cells, human plasma, serum starvation, DIA, 
PXD021825	Site-specific N-linked glycosylation of recombinant SARS-CoV-1 and -2 Receptor Binding Domain from GnTI-/- cells	PRIDE	Severe acute respiratory syndrome coronavirus 2	Orbitrap Fusion	Dataset with its publication pending	Joost Snijder	2021-02-01	Covid-19, COVID19, SARS-CoV-2, RBD, EThcD, N-linked glycosylation, 
PXD021992	Large-scale identification of ubiquitination sites on membrane-associated proteins in Arabidopsis thaliana seedlings	PRIDE	Arabidopsis thaliana (Mouse-ear cress)	Orbitrap Fusion	Dataset with its publication pending	Frank L.H. Menke	2021-01-31	Ubiquitin, Arabidopsis, Membrane-associated, Immunity, plant, 
PXD021006	Proteomic and glycoproteomic analysis of myogenesis in L6 myoblasts	PRIDE	Rattus norvegicus 	Orbitrap Fusion	Blazev et al. (2020)	Benjamin Parker	2021-01-29	myogenesis, glycoproteomics, N-linked glycosylation, 
PXD019485	Granulocyte-Colony Stimulating Factor reduces cocaine-seeking and downregulates glutamatergic synaptic proteins in medial prefrontal cortex	PRIDE	Rattus norvegicus 	Orbitrap Fusion	10.1523/JNEUROSCI.1452-20.2020; Hofford et al. (2020)	Drew D. Kiraly	2021-01-29	cocaine, reinstatement, glutamate, granulocyte-colony stimulating factor, neuroimmune, 
